Refrigeration Daily Rounds,,,,,,,,,
Name: Brett Stone,,,,,,,,,
Date: ,,,,,,,,,
Equipment ,Designation,Location,Model / Serial / Manufacturer info,Task Items,Expected Value,Actual Value/Defiencies,,,Deficiency Notes (Specify unit designation or model/serial)
,,,2 - CASRTU3-I-250-15-15T-DOAS / 4864097,Coil,"Clean, can see light through coil",,,,
,,,,Alarms,None,,,,
,,,,Damper Operation,Operating normally,,,,
MAU,"MAU1,MAU 2, MAU21-29",Roof,CaptiveAire,Visual Inspection,"No abnormal noise, rust, cleanliness",,,,
,,,1 - A5-D_2000-36D / 4513551,Fans,Operating normally,,,,
,,,2 - A5-D_2000-36D / 4513551,Coil,"Clean, can see light through coil",,,,
,,,3 - A2-D_500-20D / 4513551,Alarms,None,,,,
,,,21 - A5-D_2000-36D / 4864097,Damper Operation,Operating normally,,,,
,,,22 - A5-D_2000-36D / 4864097,,,,,,
,,,23 - A5-D_2000-36D / 4864097,,,,,,
,,,24 - A5-D_2000-36D / 4864097,,,,,,
,,,25 - A5-D_2000-36D / 4864097,,,,,,
,,,26 - A3-D_500-24D / 4864097,,,,,,
,,,27 - A2-D_500-20D / 5292658,,,,,,
,,,28 - A2-D_2000-20D / 5331729,,,,,,
,,,29 - A2-D_500-20D / 5362404,,,,,,
Blast Chillers Cabinets,1-10,Blast ,Irinox,Visual Inspection,"No abnormal noise, rust, cleanliness",,,,
,,,1 - MF750.2 4TL / 210500244M,Fans,Operating normally,,,,
,,,2 - MF750.2 4TL / 210500416M ,Coil,"Clean, can see light through coil",,,,
,,,3 - MF750.2 4TL / 201000336M,Alarms,None,,,,
,,,4 - MF750.2 4TL / 201000295M,Damper Operation,Operating normally,,,,
,,,5 - MF750.2 4TL / 201000269M,, ,,,,
,,,6 - MF750.2 4TL / 211000292M,,,,,,
,,,7 - MF750.2 4TL / 211000294M,,,,,,
,,,8 - MF750.2 4TL / 211000293M,,,,,,
,,,9 - MF750.2 4TL / 211000295M,,,,,,
,,,10 - MF750.2 4TL / 211000291M,,,,,,
Blast Chiller Condensing Units,1-10,Roof,Irinox,Visual Inspection,"No abnormal noise, rust, cleanliness",,,,
,,,1 - UC750 - AST / 210500244U,Fans,Operating normally,,,,
,,,2 - UC750 - AST / 210500416U,Coil,"Clean, can see light through coil",,,,
,,,3 - UC750 - AST / 201000336U,Alarms,None,,,,
,,,4 - UC750 - AST / 201000295U,Damper Operation,Operating normally,,,,
,,,5 - UC750 - AST / 201000296U,,,,,,
,,,6 - UC750 - AST / 211000292U,,,,,,
,,,7 - UC750 - AST / 211000294U,,,,,,
,,,8 - UC750 - AST / 211000293U,,,,,,
,,,9 - UC750 - AST / 211000295U,,,,,,
,,,10 - UC750 - AST / 211000291U,,,,,,
